Obesity_up,Obesity_down,Schizophrenia_up,Schizophrenia_down,PTSD_up,PTSD_down,MD_up,MD_down,Bipolar_up,BD_down
FADS2,ADAMTSL4,SLC6A11,RXRB,RSAD2,MTRNR2L2,LENG1,ADI1,MS4A12,HLA-DRB5
HP,GPX3,TIMP4,GTF2H2,IFI44L,RAB6C-AS1,TCF19,KLHDC7A,LOC101927429,NFKBIL1
DGAT2,KCNA1,GNG7,FZD6,TMPRSS4,NXF3,MBP,MIR548X2,MT1A,DHX16
LOC101930114,PLXNB3,GPR12,GPI,TENM4,C4BPA,MIR3178,MIR3117,SFN,MDC1
PRRT4,C6,BCAN,SOCS7,MAJIN,TRIM39,BCAS1,LINC00517,CXCL10,HLA-DRB1
GYS2,MELTF,SPTB,PBX2,FREM3,LENG1,TEKT4P2,HSPA6,MTRNR2L2,SPNS3
SAA2,LOC400553,COL20A1,NOS2,STAC,COL25A1,KIF19,LOC100996671,ZAN,IL17REL
AMY1C,WDR86-AS1,SLC4A4,ALDH1A3,HLA-G,GPR179,MDC1,LINC01467,OR5A1,GPI
FADS1,CRYGN,TENM1,OCLN,STUM,LINC02112,HLA-C,IL1A,ANGPTL4,CCL3
GPAM,CDH4,KCNIP1,LOC101928917,ADGRL3,NOSTRIN,FEZF2,DMBT1P1,LIF,HLA-DMA
ANGPTL8,WDR86,SYT12,HOXD10,PAPPA,SEMA6D,CARNS1,CXCL8,HOXA-AS3,CLEC9A
B4GALT6,RARRES1,MKX,LINC01629,DUOX2,TWIST2,MOBP,GABBR1,HCG27,ATP6V1G2-DDX39B
C5orf64,LIPA,MDFI,HOXC10,ANTXR1,SGIP1,BTNL2,C6orf47,CHI3L1,ELOA3D
LINC00993,LINC02227,ABCF1,IFNE,GPHA2,HCG17,TNXB,MIR7978,CHI3L2,PHRF1
CCDC162P,ATP6V0D2,LRRN2,HOXD11,HLA-DRB3,TP53TG3,MOG,IL1B,SERPINA3,HLA-A
UGT1A7,CRTAC1,SYN2,CNOT3,EHMT2,PRKD1,CTAG2,SELE,MT1X,MOG
LINC00632,CLSTN2-AS1,KCNA2,BRD2,HLA-B,KIR2DL1,C4B,FRMD6-AS2,CXCL9,CCL4
CLCA2,DCSTAMP,CSMD1,CNTN1,FAM95C,MICB,SFTPA1,LINC02367,CXCL11,HLA-DOB
PDZD3,VWA3A,SCRG1,C1QTNF1,GABBR1,XIST,MUC4,LINC00567,MRVI1,PANK4
ZFAT,BMP7,SLC6A1,PPP1R18,HLA-A,CREB5,LINC00273,BRD2,LINC01354,HLA-L
FASN,FBP1,SCN1A,ATAT1,ZNF43,PADI2,PBX2,SMIM2-IT1,LOC101927780,IGFBPL1
HIST1H2BC,RASL10B,GRID1,RCAN2,EGFL8,NFKBIL1,NDOR1,CCL4,NLRP5,DLGAP2
RN7SL1,NRIP3,ABTB2,SMN1,KIR2DS2,SPECC1L-ADORA2A,TRIM39,LINC01146,MT1JP,TNNI2
