,Gene_symbol,Log_FoldChange,PValue
0,HLA-DRB5,-5.556,3.08391035497579e-07
3,NFKBIL1,-6.641,1.7622384497929902e-06
9,DHX16,-3.67,4.86310090952035e-06
11,MDC1,-2.967,8.3372727633175e-06
15,HLA-DRB1,-3.6710000000000003,1.40530104881543e-05
26,SPNS3,-2.423,3.91273833726169e-05
53,IL17REL,-1.6769999999999998,0.000150295658479125
56,GPI,-1.8940000000000001,0.000139460766946202
60,CCL3,-2.033,0.000163304239194409
68,HLA-DMA,-2.235,0.000191217351649551
79,CLEC9A,-1.24,0.000259231645357023
101,ATP6V1G2-DDX39B,-2.991,0.000316390099239346
104,ELOA3D,-3.0189999999999997,0.00033083630797636
114,PHRF1,-4.595,0.000369187419034481
121,HLA-A,-3.1430000000000002,0.00042126673106772703
122,MOG,-3.647,0.000428409622919008
132,CCL4,-2.714,0.0005100721105223639
172,HLA-DOB,-2.485,0.000654233826034517
178,PANK4,-1.264,0.0006654658067942731
191,HLA-L,-4.601,0.0007521962580507441
195,IGFBPL1,-1.094,0.000770104888358387
213,DLGAP2,-1.187,0.000878861089512624
218,TNNI2,-1.8980000000000001,0.000905533562790865
259,AVPR2,-1.157,0.0012511540280646801
315,PKNOX2-AS1,-1.06,0.00143949771639226
327,P2RY12,-1.514,0.0015350779938632401
355,DDX39B,-2.488,0.0017730107392960397
357,NOTCH4,-1.415,0.00178662186040924
372,CNTN4-AS2,-1.143,0.0018991987251109
375,DDR1,-3.324,0.00190507592843645
402,CHAT,-1.656,0.00218671790235749
413,PRSS22,-1.921,0.0024097330475928397
441,CD86,-1.296,0.0025346148984740197
455,TC2N,-1.04,0.0027497773132880397
469,HLA-B,-2.611,0.00227248076621459
482,AGAP12P,-1.052,0.00242622084004428
509,SCG5,-2.3209999999999997,0.0027327234453883103
531,TARP,-1.095,0.0029232383472252302
553,KRT31,-1.193,0.00305642823436483
589,PSORS1C2,-2.783,0.00345347665127442
684,SLC39A2,-1.3630000000000002,0.00393879969298456
701,GABRQ,-1.04,0.0040650990102082205
799,LILRB5,-1.39,0.004930792353655279
925,TATDN2,-1.052,0.00587870850563443
962,ADGRG7,-2.935,0.0062497509991308
1039,GPR101,-1.7209999999999999,0.00699300736057244
1090,RUVBL1-AS1,-1.209,0.007493969844970809
1111,F8A3,-2.126,0.007681693004495241
1113,GTF2H4,-1.9,0.007701582984169441
1134,LILRB4,-2.1630000000000003,0.00798469522207984
1141,CH17-360D5.1,-1.2690000000000001,0.00807156326991314
1205,CYP4F29P,-1.031,0.00870031845140787
1210,HLA-C,-2.7239999999999998,0.008694892347383479
1302,HLA-DPB1,-1.297,0.00965551054117545
1342,PPP1R18,-3.325,0.0102036536220761
1379,TMEM215,-1.147,0.0106646307879477
1420,PSORS1C1,-1.206,0.0108477097929603
1428,CTDP1,-2.195,0.0109263450205173
1539,LILRA4,-1.436,0.012319353705517
1627,OR2T5,-1.9880000000000002,0.0133882528622489
1635,SLC1A7,-1.101,0.0134520408097768
1667,LOC101928596,-1.206,0.0138313721447859
1711,CYP3A7-CYP3A51P,-1.253,0.0142267549743157
1746,AGER,-1.0190000000000001,0.0147268202320855
1797,PRRC2A,-1.9980000000000002,0.0153755373979024
1834,MRPS36,-2.775,0.0157716966371783
1933,RNASE6,-1.036,0.0171555754869578
1975,VARS2,-1.682,0.0176943865539522
1995,OR13C9,-1.006,0.0180349960342462
2013,LINC02285,-1.557,0.0183039553069451
2080,GNL1,-1.629,0.01918966588641
2181,LOC149950,-1.534,0.0207339062304915
2223,LOC105372430,-1.681,0.0212356547687832
2430,UBQLN3,-1.558,0.0243525290533024
2442,MIR4801,-1.4669999999999999,0.0249150989084779
2494,HLA-DRA,-2.699,0.0250053207804463
2534,TAP2,-1.357,0.0255368284787978
2548,MARCO,-1.185,0.0257681226819262
2569,TMEM252,-1.121,0.0262759122446978
2677,LOC101929574,-1.124,0.0276161459619671
2693,SUCNR1,-1.022,0.027839777464880998
2707,CD69,-1.042,0.0280692251190324
2715,MIR409,-1.4969999999999999,0.0282257699530754
2722,HLA-DMB,-1.425,0.0283987449253454
2925,SNORD115-23,-1.273,0.031837202903578
3148,FOLR2,-1.146,0.0355619530432112
3166,AQP12A,-1.304,0.0358270684417842
3170,PPP1R11,-2.075,0.0358725083922807
3372,DEFA1,-2.521,0.039586488749125
3505,NRG1-IT3,-1.091,0.0416776245391018
3542,OR52L1,-1.375,0.0423100488972591
3602,HCP5,-1.505,0.0435743884692318
3829,TP53TG3,-1.6569999999999998,0.0481723647151539
3846,MIR1289-2,-1.3019999999999998,0.048658825863347
7,CSNK2B,-5.478,5.89027382911247e-08
82,FKBPL,-8.8,2.48572817201735e-05
112,CHCHD2,-5.006,4.9025949344866e-05
113,RNA5-8S5,-6.22,4.984081109004629e-05
131,PTGR1,-8.109,6.45123761677695e-05
139,ZBTB22,-6.234,7.22518394405515e-05
180,LY6H,-3.4619999999999997,0.000147836968781201
187,GSTT2,-8.015,0.00016732270827041
210,IRAK1,-2.276,0.000219742063564734
244,CTXN1,-4.0680000000000005,0.000329770780369718
245,IFITM3,-4.21,0.000328133349469552
251,PCDHGB6,-1.635,0.000346606187915075
283,SCG2,-1.8719999999999999,0.000454446643773021
284,ATP6V0C,-3.339,0.00045773586063016904
289,CCDC184,-1.891,0.000500943696513515
293,DLK1,-4.7589999999999995,0.0005156998285539361
317,BEGAIN,-2.175,0.000592028944666479
