,Gene_symbol,Log_FoldChange,PValue,Unnamed: 0
9,ADI1,-5.435,3.9212877680611894e-05,
20,KLHDC7A,-3.355,6.374780397347529e-05,
21,MIR548X2,-1.097,5.6034645700692295e-05,
22,MIR3117,-1.143,6.028188046341579e-05,
28,LINC00517,-1.545,8.777733965841859e-05,
37,HSPA6,-5.676,0.000123918393930182,
45,LOC100996671,-2.329,0.000162148606989607,
48,LINC01467,-1.068,0.000191399544146295,
64,IL1A,-2.23,0.000319862783935142,
65,DMBT1P1,-1.128,0.000291510954179129,
68,CXCL8,-3.759,0.000267692064611805,
84,GABBR1,-3.062,0.000297061530125406,
90,C6orf47,-6.6129999999999995,0.000335749158377697,
91,MIR7978,-1.1640000000000001,0.00035858251929408,
92,IL1B,-2.787,0.000363084499750397,
96,SELE,-3.8560000000000003,0.000388211152306027,
101,FRMD6-AS2,-1.4809999999999999,0.000467693018450833,
111,LINC02367,-1.425,0.000511443067340365,
113,LINC00567,-1.034,0.000578414168280581,
117,BRD2,-1.81,0.0006113644946704111,
142,SMIM2-IT1,-1.749,0.0007342527443958831,
165,CCL4,-4.955,0.000903780155986786,
177,LINC01146,-1.033,0.000984764953351885,
180,CD300LB,-2.477,0.0010125268167678,
182,RAET1L,-2.81,0.00104996999307433,
183,MIR548D1,-4.285,0.0010558939978046302,
201,LYVE1,-1.024,0.00118564280034955,
204,LINC00890,-1.946,0.00122590629276654,
205,PRRC2A,-3.27,0.00124039736660591,
220,LOC101928942,-1.126,0.00139744505264421,
222,OLR1,-1.045,0.0014010790829230599,
227,GCSAM,-1.146,0.00151119300694587,
247,OR10A4,-1.065,0.00171591016081711,
250,GNL1,-3.543,0.00172232088211032,
260,ZNF645,-1.3559999999999999,0.0017803384835730102,
261,IL6,-3.766,0.00176334616119149,
276,COL11A2,-4.743,0.0019299095987087398,
279,TRPC7,-1.43,0.00197324812367373,
283,RXRB,-2.3609999999999998,0.0020427228573304,
295,LINC01291,-1.595,0.00209426060444269,
305,PPT2,-2.969,0.00216788519055959,
309,TUBB,-7.468,0.00218358582995988,
326,SUCNR1,-1.324,0.002376281907942,
333,SERPINH1,-2.345,0.0024993367935817897,
350,GPR183,-1.107,0.0026144896303863397,
355,LILRB4,-2.448,0.00268390251228439,
368,CCL3L1,-3.707,0.00297491062853996,
370,CCL3,-2.847,0.00302486231901578,
372,LINC01845,-1.204,0.003028373024561,
387,HLA-DRB4,-4.437,0.00322572769356613,
388,LOC101929163,-1.014,0.00321849068285948,
414,APOC2,-1.091,0.00348341833368345,
418,LINC02407,-1.726,0.00350130959103133,
419,AREG,-2.375,0.0035202472580533103,
432,HLA-DMB,-1.45,0.0037558950362284603,
437,RGS1,-1.734,0.00385570030277571,
441,ACOT12,-1.198,0.00402044331769963,
453,TNFAIP3,-1.6340000000000001,0.00412339172982414,
470,ADAMTS9-AS1,-1.099,0.0044234649069072795,
483,IL4,-2.37,0.00471463804563165,
484,LOC105372233,-1.422,0.0048180453156703605,
485,LINC01043,-1.295,0.0046669924124450295,
486,CSF3,-3.2680000000000002,0.004760651549259629,
512,CCL4L2,-2.542,0.00491554679827164,
517,LOC105375972,-1.088,0.0050006392687614604,
518,MIR4275,-2.123,0.00504028274131966,
520,CXCL10,-3.569,0.00508173126619437,
524,THBS1,-1.367,0.00503197075460888,
558,LILRB5,-1.929,0.00560803556704361,
581,KLRC3,-1.045,0.00587427285055211,
589,TFPI2,-2.1319999999999997,0.0059811273910173705,
591,DUSP13,-1.9409999999999998,0.00602090382795057,
592,CCIN,-1.204,0.006063314945722129,
606,MIR548O2,-1.155,0.00631239510585639,
626,LOC100130331,-1.1540000000000001,0.00660950506913482,
643,AOAH-IT1,-1.344,0.00678424337138996,
664,SNORD11,-1.002,0.007736244812323379,
665,LOC101927895,-1.136,0.007378658919690341,
666,HPVC1,-1.564,0.007404124697604071,
668,NPIPA1,-1.765,0.0077698150920609,
675,CH25H,-1.114,0.007732866008899609,
702,NR4A3,-1.031,0.00718813731555977,
723,LINC00396,-1.443,0.00780350289660901,
725,TCF21,-1.435,0.00786010097062933,
728,LINC01500,-1.483,0.00794500868070415,
731,HLA-A,-1.7890000000000001,0.00797879106700002,
