,Gene_symbol,Log_FoldChange,PValue,Unnamed: 0
1,LENG1,2.3680000000000003,6.02883429591872e-06,
6,TCF19,3.582,1.54650897010445e-05,
24,MBP,1.2429999999999999,6.32522313934927e-05,
27,MIR3178,2.097,8.72072112867479e-05,
39,BCAS1,1.069,0.000126925041694656,
66,TEKT4P2,1.23,0.00025127817411663,
102,KIF19,1.276,0.000453661752338658,
115,MDC1,1.94,0.0005382793492772099,
116,HLA-C,2.8139999999999996,0.000590955897649859,
123,FEZF2,1.301,0.000593424526618314,
158,CARNS1,1.011,0.000822305954433853,
199,MOBP,1.06,0.0011657044091987802,
328,BTNL2,1.875,0.0024233631480934104,
356,TNXB,2.146,0.00268816753325606,
365,MOG,2.318,0.00283525392730791,
400,CTAG2,2.6839999999999997,0.00329679633788887,
422,C4B,1.396,0.0036488477028577705,
465,SFTPA1,1.1079999999999999,0.0043195670393762,
529,MUC4,1.561,0.0052064769452459,
637,LINC00273,1.194,0.00658815194426425,
738,PBX2,1.327,0.00802760599808137,
833,NDOR1,1.052,0.00939574972763852,
964,TRIM39,2.844,0.011185123415382,
1019,TSPY2,2.081,0.0124894467648391,
1038,LINC01271,1.181,0.0125493661365505,
1125,LINC00935,1.368,0.0143867415253488,
1279,SNORD124,1.145,0.0168160335119986,
1304,PTGER1,1.0170000000000001,0.0172374399225443,
1312,OR6B3,1.821,0.0174728875868896,
1313,NAIP,1.219,0.017514033265516003,
1328,GPR142,1.3559999999999999,0.017992494409862,
1347,MIR4479,1.351,0.018380449205644,
1393,MIR657,1.0170000000000001,0.0194690194532318,
1440,FEV,1.119,0.0205309925163099,
1489,OVOL1,1.014,0.0218013147635818,
1555,PSORS1C1,1.145,0.0233365650102261,
1557,CES1P1,1.589,0.0233816009682145,
1565,MIR579,1.092,0.0235845403518854,
1611,IL1RL1,1.088,0.0247256521315671,
1634,KLRG2,1.35,0.0252985025132712,
1689,MIR4666A,1.2009999999999998,0.026811037087108996,
1722,TSPY10,1.705,0.027903944139645,
1737,HSPA1B,2.56,0.0281050931706021,
1751,TBX10,1.0859999999999999,0.0283905777000568,
1767,ARHGAP11A,1.745,0.0288400379242805,
1827,MIR149,1.0390000000000001,0.0304648878014888,
1839,CYP21A2,1.3940000000000001,0.0307601146516623,
1902,MIR199A1,1.4380000000000002,0.0328258571300633,
1986,CD207,1.4369999999999998,0.0351851770269304,
2042,MIR4531,1.41,0.0366655270431025,
2052,FAM236A,1.584,0.0370843323524208,
2055,CDHR5,1.025,0.0371098780617033,
2086,CTAG1A,1.3330000000000002,0.0377212443274705,
2282,CLEC4F,1.205,0.0440595253987192,
2314,SNTB2,1.5819999999999999,0.0451637399621736,
2403,LINC00589,1.449,0.0475773588323355,
2418,MIR1270,1.247,0.0482526696853524,
2451,GSTT2,1.04,0.0488043452605478,
0,MTRNR2L8,3.821,2.0471684279123e-13,
7,FER1L6,2.045,1.2534538047398001e-06,
36,AQP1,1.525,0.000219720709158478,
40,SLPI,2.089,0.00027199057311734303,
42,LINC01396,1.165,0.00029571332955372,
47,SLC26A7,1.49,0.000386022002103087,
57,OR5AK4P,1.554,0.000544325620151167,
