,Gene_symbol,Log_FoldChange,PValue
3,ADAMTSL4,-1.0590000000000002,3.6193801772106e-11
31,GPX3,-1.115,4.10749729865759e-07
68,KCNA1,-1.6059999999999999,5.00277448843324e-06
78,PLXNB3,-1.247,7.04155873871915e-06
102,C6,-1.355,1.9829684322156896e-05
110,MELTF,-1.117,2.63191976147298e-05
143,LOC400553,-1.837,5.850357055147951e-05
144,WDR86-AS1,-1.6019999999999999,5.8302909880658e-05
159,CRYGN,-1.237,7.673517968255509e-05
166,CDH4,-1.381,8.60278668741411e-05
180,WDR86,-1.149,0.000105728586558395
219,RARRES1,-1.137,0.000198412522286427
226,LIPA,-1.008,0.00020564143419210502
250,LINC02227,-1.3459999999999999,0.000280794795168203
253,ATP6V0D2,-1.673,0.00028395185211934303
257,CRTAC1,-1.1909999999999998,0.000299010689307013
258,CLSTN2-AS1,-2.234,0.000300210645115856
267,DCSTAMP,-2.384,0.00034875499683184504
276,VWA3A,-1.004,0.000426018866919737
285,BMP7,-1.449,0.000466658346861896
290,FBP1,-1.195,0.00048158746585673097
302,RASL10B,-1.2890000000000001,0.000538364530081434
312,NRIP3,-1.265,0.000579291763810498
332,NCEH1,-1.244,0.000699519204920951
340,CHIT1,-2.066,0.0007496206020668099
347,DDX39B,-2.306,0.000764217973513127
355,NCAPH,-1.3969999999999998,0.000799014201822713
357,PROK1,-1.47,0.000805378329829178
364,CCL7,-2.122,0.000882550366765595
369,NLRP2,-2.7680000000000002,0.0009054166093276731
370,FCMR,-1.2,0.000909212982282178
373,DNASE2B,-2.149,0.000921802290435081
376,PI15,-2.3040000000000003,0.000955664983404825
379,LOC554223,-2.681,0.000973354826364675
381,WSCD2,-1.1909999999999998,0.000974416489742082
391,IFNLR1,-1.642,0.0010497847106656199
392,ACE,-1.4180000000000001,0.00105562045917247
396,SPOCD1,-1.36,0.00109792717700554
408,LOC100506585,-1.5030000000000001,0.00121595455423127
412,ACOT12,-1.722,0.00123711917384988
419,PIK3R2,-1.5930000000000002,0.0012626123491299198
423,ARSI,-1.25,0.00130888298015162
425,LINC00484,-1.097,0.0013333850946125698
430,DES,-2.1959999999999997,0.00145248310462606
443,TM4SF19,-1.9280000000000002,0.00165528121722077
461,ACP5,-1.521,0.0018598636328941102
465,NCAM1-AS1,-1.541,0.00190401057401667
466,TMEM255A,-1.015,0.00191055560913013
493,GDF15,-1.5219999999999998,0.00228212350794405
496,PTGES3L-AARSD1,-2.23,0.00232795645303852
503,GOLGA7B,-1.077,0.0023996380190191803
515,PGM5-AS1,-1.01,0.00253834409355149
542,SLC6A15,-1.307,0.00280629277344408
555,LOC400541,-2.9789999999999996,0.00295899826458675
556,GBP7,-1.827,0.0029800179771750103
564,UMODL1,-1.84,0.00305640257787251
577,SERTM1,-1.475,0.00327233653854554
