,Gene_symbol,Log_FoldChange,PValue
0,FADS2,2.025,1.51164015527653e-13
1,HP,3.065,3.8350684101163897e-13
4,DGAT2,1.194,1.3898536611691599e-10
6,LOC101930114,1.262,5.883014038844141e-10
9,PRRT4,1.256,1.01277836064611e-08
10,GYS2,1.943,1.2165349645061101e-08
11,SAA2,1.93,1.2704987863543502e-08
12,AMY1C,4.03,1.501622250208e-08
14,FADS1,1.311,2.48871365334623e-08
15,GPAM,1.087,3.9456855780899504e-08
16,ANGPTL8,1.8119999999999998,1.0090662002113099e-07
17,B4GALT6,1.443,1.0833124594192e-07
20,C5orf64,1.3359999999999999,2.0831574626602896e-07
21,LINC00993,1.726,2.0213668789747602e-07
23,CCDC162P,1.906,2.19307664306106e-07
24,UGT1A7,2.329,2.46660087638316e-07
26,LINC00632,1.608,2.7516024515726106e-07
32,CLCA2,1.4869999999999999,4.49200483126804e-07
36,PDZD3,1.871,4.97439505778679e-07
38,ZFAT,1.604,8.63526196535194e-07
40,FASN,1.037,9.328265849007929e-07
43,HIST1H2BC,1.136,1.37573502273149e-06
44,RN7SL1,8.113999999999999,1.5169738830333901e-06
47,ZACN,4.164,1.99503183839362e-06
50,LINC01667,1.895,2.42083974536018e-06
51,SEL1L2,2.129,2.41363469942594e-06
53,CDK7,1.4509999999999998,2.68402262585456e-06
55,CTD-2201I18.1,1.557,2.86467529469665e-06
56,KRT5,1.791,3.3295174732223498e-06
60,SCD,2.975,3.5272372628771002e-06
61,CKMT2,1.013,3.71036198159363e-06
62,SAA1,1.2409999999999999,3.83589699172758e-06
63,SLCO6A1,2.952,3.96751035805184e-06
66,KCNK15,1.68,4.92432865953028e-06
70,SAA2-SAA4,1.4169999999999998,5.65679598028595e-06
71,KLHL31,1.0070000000000001,5.65084095753177e-06
77,FAM166B,1.125,6.9049349433206206e-06
85,LOC101929741,1.445,1.03228660819734e-05
87,ANKRD30A,1.561,1.1285802043874301e-05
93,SFRP2,1.1740000000000002,1.44832442641237e-05
94,IDO1,1.375,1.55727096733162e-05
100,TTYH1,1.6880000000000002,1.80588990691244e-05
103,ZNF705D,3.116,2.0392145044590898e-05
104,CETP,1.383,2.0984514536696e-05
112,CARD18,1.963,2.8760011785267e-05
114,MDC1,2.716,2.93541312862375e-05
123,MYO18B,1.537,3.6641505071745004e-05
125,KRT14,2.309,3.9149646346077e-05
130,THBS4,1.785,4.17841543625564e-05
132,SLC2A5,1.317,4.38161043228641e-05
133,SLC35G1,1.012,4.76577891974199e-05
140,CFAP221,1.3769999999999998,5.38473192783552e-05
145,P2RX6,1.135,5.8291346583583706e-05
149,ALDOC,1.421,5.985868897089499e-05
154,LINC01192,1.2590000000000001,6.720815358163829e-05
163,TRIM39,5.622999999999999,7.937499229153951e-05
169,UCP1,2.516,8.85599383266001e-05
178,FCN2,1.4780000000000002,0.00010118460962286999
182,FAT2,1.0090000000000001,0.000112832554057535
188,FAM166A,1.074,0.000126273273412762
190,RNU4ATAC,1.7209999999999999,0.00013319518263411398
202,NNAT,1.085,0.00014330554373313302
210,SEZ6,1.8119999999999998,0.000182174069251849
214,ABCC6P2,2.266,0.000190851676049046
217,CNTN2,1.03,0.000194543874049474
218,LOC105376671,1.062,0.00019877273743688302
220,DEFB103A,2.447,0.00020824592194063
221,DEFB103B,2.447,0.000208165849321199
234,KRT71,2.1,0.000226684019952661
236,ELOVL6,1.068,0.000238948596642965
247,SAA4,1.3659999999999999,0.000274088148580679
248,MUC16,1.153,0.000277174980225565
251,LOC284379,1.264,0.000281410074436319
252,TTC9B,1.2819999999999998,0.00028285500602376
261,ABCC11,1.179,0.000322251431409689
264,DEFB132,1.719,0.00032982001121173
265,DRD1,1.7690000000000001,0.000345520091612762
269,KRTAP5-9,1.236,0.00037893423890014103
271,COL11A1,2.056,0.000394740494433202
272,NETO1,1.611,0.00041399277401985897
280,CHAC1,1.44,0.000433829396881688
288,AADACL3,1.705,0.000468906903725091
289,CPA4,1.166,0.000479515931186271
293,KCNA5,1.213,0.000492005881552647
298,SLC39A12-AS1,1.234,0.000516429606409453
316,LOC101926941,1.024,0.000621082778599488
322,BCYRN1,1.204,0.0006510469690370259
325,MOGAT2,1.139,0.000670030354866835
329,MTRNR2L8,2.052,0.000681096783303765
338,NXPH4,1.357,0.000738171962212396
346,LOC100506869,1.412,0.000764113860487721
350,LBP,1.125,0.00076939987212316
390,OIT3,1.804,0.00104128948853676
397,RHAG,1.915,0.00112487328737021
407,STMN2,2.506,0.00120701525506795
410,LGALS7,3.605,0.0012303126623525698
415,LOC105378325,1.3119999999999998,0.00125804346809428
420,MIR708,2.519,0.00128331407174461
445,FRG2B,2.4090000000000003,0.00170032585739634
446,CYP3A4,1.172,0.0017157804944095301
447,PRND,1.392,0.00170899179287368
452,SULT1A2,1.026,0.00175300013790501
458,MXRA5,1.0590000000000002,0.00179584965475347
459,GKN1,1.621,0.0018222454413428899
467,CDR1,1.162,0.00194129342632831
469,IQCA1,1.158,0.00198845982904718
470,LOC400743,2.161,0.0020259552262928303
472,RP1,1.838,0.00204367710772817
483,ESM1,1.341,0.0021521722127861896
500,LY6H,1.554,0.00241412678974233
502,CLCA3P,1.13,0.00241223029003958
514,RN7SK,1.055,0.00252790824276637
525,OR5AK4P,1.305,0.0025917841392234
532,OPRK1,1.295,0.0027096481032844
550,DPRX,1.195,0.00288461511561008
565,LINC01929,1.072,0.00306540261387701
592,TRIM67,1.272,0.00346767479663756
630,LOC105378231,1.857,0.00399334674682973
632,SLC15A5,1.078,0.00401712357730097
644,LINC00525,1.242,0.00427004091937314
648,NAT2,1.5659999999999998,0.0043261342713795895
661,DRC1,1.248,0.00454050667411654
711,LINC01099,1.095,0.005395190155638829
714,LOC100129935,1.011,0.00547619677393217
719,PRSS57,1.659,0.0055856777154201205
734,SLC22A12,1.379,0.0058138684557529205
753,DIRC1,1.004,0.00619122366440872
755,LINC00184,1.1079999999999999,0.00633747683062166
760,LOC107984640,1.2590000000000001,0.00640673488007269
771,PP12613,1.8090000000000002,0.00672919621380231
772,GCGR,1.531,0.00674934117413204
783,DEFA1,2.079,0.00685649309625737
789,PPP1R18,1.45,0.00699107219218067
791,ANKRD30B,1.053,0.0070770419935213096
796,TADA2A,1.558,0.00711939780024415
832,RALYL,1.033,0.007796629726376759
854,LY86-AS1,1.2229999999999999,0.00825175362646457
861,KRT79,1.196,0.00829558033357413
871,GAL3ST3,2.101,0.0085867004529784
872,TECTB,1.525,0.00860277173885978
879,APLN,1.077,0.00866749488505943
892,LGALS8-AS1,1.058,0.00895687533027121
894,ARL14EPL,1.71,0.00900752770960297
901,URAD,1.66,0.00920698651041401
