,Gene_symbol,Log_FoldChange,PValue
0,MTRNR2L2,-2.126,6.8008250249051196e-12
1,RAB6C-AS1,-2.8819999999999997,2.78013772124162e-07
3,NXF3,-2.028,5.48050617358183e-07
13,C4BPA,-1.6740000000000002,3.87866807589209e-05
22,TRIM39,-2.028,0.00020793501297593702
23,LENG1,-1.167,0.000209088901192834
33,COL25A1,-1.197,0.000418399390354539
82,GPR179,-1.534,0.0025021492221891
83,LINC02112,-1.25,0.00275336532918842
84,NOSTRIN,-1.15,0.00268762622403635
103,SEMA6D,-1.138,0.00388666112539275
127,TWIST2,-1.166,0.0049115346245870205
143,SGIP1,-1.014,0.0062683378700031205
203,HCG17,-1.209,0.00961661185988442
247,TP53TG3,-1.157,0.0164087257536733
1639,PRKD1,-1.115,0.0159023382396476
2565,KIR2DL1,-1.406,0.0208250666702646
3773,MICB,-1.003,0.0217064483935915
0,XIST,-11.485,9.52880673706165e-12
1,CREB5,-2.701,4.69230467382544e-10
3,PADI2,-2.6319999999999997,1.01008248108397e-09
4,NFKBIL1,-3.784,3.01516192179688e-08
5,SPECC1L-ADORA2A,-2.377,3.52351880052339e-08
8,GNG12-AS1,-4.163,6.218632806080611e-08
9,LOC105369438,-4.667,8.478372409468259e-08
10,CR1,-2.369,9.92760232309065e-08
11,MICAL2,-1.5030000000000001,1.1271529071958699e-07
12,SIRPB1,-2.318,1.1749903261104698e-07
14,NEK6,-1.642,1.55079364362226e-07
15,CLEC4D,-1.568,2.0786289691362102e-07
16,MICALCL,-1.9269999999999998,2.34129843501926e-07
17,LIN7A,-2.372,2.26700232938033e-07
18,WDFY3,-2.01,2.64077180885986e-07
19,CELF2-AS1,-2.459,3.18433576655829e-07
20,LRRC4,-3.484,3.0878048325722103e-07
21,NPL,-1.641,3.4590140297791097e-07
22,SLC22A4,-2.386,3.6920193838980296e-07
23,CRISPLD2,-1.63,4.3960199350818204e-07
24,CPEB4,-1.8030000000000002,5.32709180587265e-07
25,ZNF460,-1.8619999999999999,7.880344788170091e-07
26,LPP,-1.482,8.643463382553699e-07
