,Gene_symbol,Log_FoldChange,PValue
2,RSAD2,1.2590000000000001,2.47019857455181e-07
4,IFI44L,1.003,2.0899426500465e-06
5,TMPRSS4,1.187,9.194967895306531e-06
16,TENM4,1.196,5.8369442339073e-05
17,MAJIN,1.456,7.803325774245229e-05
26,FREM3,1.72,0.00023099297192717997
29,STAC,1.199,0.000270363631561366
53,HLA-G,1.875,0.0009429826829818551
57,STUM,1.7209999999999999,0.0010724667511743
92,ADGRL3,1.3940000000000001,0.0032763779708462103
117,PAPPA,1.136,0.00464692888869772
138,DUOX2,1.063,0.0053122509989347606
144,ANTXR1,1.07,0.00626855238334824
1486,GPHA2,1.122,0.0125218661143189
15375,HLA-DRB3,1.235,0.0218483942747193
2,EHMT2,2.026,8.0713345479214e-10
6,HLA-B,5.252000000000001,3.091653818065201e-08
7,FAM95C,2.563,5.4202026518009695e-08
13,GABBR1,6.433,1.40356298255809e-07
36,HLA-A,6.3020000000000005,2.18215943981922e-06
40,ZNF43,1.895,2.37637709926021e-06
41,EGFL8,3.283,2.65831325900924e-06
45,KIR2DS2,5.754,3.35696924913621e-06
51,COL11A2,3.065,4.01357783678401e-06
57,SAXO2,3.063,6.540848502172149e-06
78,PKD1P6-NPIPP1,1.568,9.681843124522729e-06
84,LOC102724200,1.194,1.14537784180374e-05
103,ATP6AP1L,1.6769999999999998,1.78317486454547e-05
156,PLCH2,1.198,3.99207135234981e-05
172,MICA,2.35,4.8079344522341996e-05
186,ZBTB20-AS1,2.253,5.9117465181804294e-05
223,UPK3BL,1.09,7.6098074241729e-05
243,HLA-DPB1,7.52,9.17262329684164e-05
249,WNT3,3.3310000000000004,0.00010500397621956501
260,MIR106A,5.551,0.00011160493855417901
267,NSUN5P1,1.04,0.00012050388564373201
290,HLA-DRA,3.822,0.000139343930405974
304,C6orf25,7.2410000000000005,0.000151983309886917
305,C1orf167,2.984,0.000153821690966433
313,RGPD5,1.262,0.000156894364778705
346,PPIAL4C,2.4090000000000003,0.00020583007689903702
372,MIR568,1.1159999999999999,0.00023838953544065897
375,TMEM249,1.874,0.00024178274118188798
376,LGALS9B,2.057,0.000241259080965404
398,DHX36,1.445,0.000269071929338961
409,ZNF883,1.5759999999999998,0.00028563698679449304
426,LINC00987,1.415,0.00029933157182773703
438,CERS6-AS1,1.51,0.000316427201282152
439,GZMB,1.135,0.000324608975409411
442,LINC00540,1.5919999999999999,0.000329385013648704
443,XRCC3,1.0659999999999998,0.00032937242276612
447,VARS2,2.056,0.00033463653813716203
449,AGPAT1,5.468,0.000338051618409203
457,A2MP1,1.7830000000000001,0.00035863706980974
474,PRRC2A,1.692,0.000390968123619111
479,ERMN,1.176,0.000402750157371223
484,GTF2H4,2.3890000000000002,0.000412548156425677
491,APOD,4.771,0.000432326969448031
502,SNORD60,2.4019999999999997,0.00045182554121776797
507,OR10G2,2.14,0.00046687582131703094
532,MYRF,1.516,0.0005215274849557861
548,PPP1R11,2.79,0.000554234749983729
557,SPATA3-AS1,2.129,0.000571334762913087
561,OVOS2,1.805,0.000578364798211892
564,LOC105371242,2.6689999999999996,0.000596595328331179
572,NPIPB5,1.19,0.0006159860768301781
579,KIAA0408,1.8419999999999999,0.000649939287364005
592,HCG25,3.1860000000000004,0.000685577561510304
627,IGIP,1.127,0.000809054263283134
630,N4BP2L2-IT2,1.138,0.000816151839211132
653,LINC00161,2.146,0.0008647531961969281
700,WFDC21P,1.9480000000000002,0.00100961678887461
714,HCP5,4.944,0.00106791367779516
727,CLDND2,1.4680000000000002,0.00108551130919806
746,RNVU1-1,4.13,0.00115186568661617
747,SYDE1,1.645,0.0011673916659238198
