,Gene_symbol,Log_FoldChange,PValue
0,RXRB,-7.005,4.58951574202659e-19
1,GTF2H2,-1.905,2.7892719201056796e-13
2,FZD6,-2.1,6.172237149613441e-13
4,GPI,-5.242000000000001,1.1224213792126598e-12
5,SOCS7,-3.7289999999999996,2.0544697338381e-12
6,PBX2,-5.7379999999999995,2.3103494242883502e-12
11,NOS2,-4.868,8.764237801931361e-10
12,ALDH1A3,-4.888,1.40286082795788e-09
14,OCLN,-1.7990000000000002,1.7369381985588099e-09
18,LOC101928917,-4.5089999999999995,4.02811858002064e-09
27,HOXD10,-5.835,1.35178982336092e-08
28,LINC01629,-3.912,1.26738149248457e-08
29,HOXC10,-5.42,1.3093255428828798e-08
33,IFNE,-3.306,2.9505637406173097e-08
36,HOXD11,-4.8660000000000005,4.20006915263263e-08
41,CNOT3,-2.204,6.27021988371137e-08
44,BRD2,-4.635,9.55322630514392e-08
46,CNTN1,-1.8030000000000002,1.02224653588278e-07
53,C1QTNF1,-2.4859999999999998,2.1138273230593103e-07
54,PPP1R18,-4.5969999999999995,2.50688933541184e-07
58,ATAT1,-2.27,3.9124116879175897e-07
61,RCAN2,-4.107,5.058013813476e-07
66,SMN1,-5.327999999999999,6.43778192993209e-07
81,CFB,-3.963,1.19798861302384e-06
83,LOC101927685,-5.6160000000000005,1.16650562354002e-06
85,PSORS1C1,-2.867,1.24265426539724e-06
86,MDC1,-3.6189999999999998,1.2284425100902598e-06
87,SPINT1,-4.446000000000001,1.27098618523802e-06
92,RPS18,-4.709,1.69957977122994e-06
94,CDCP1,-3.0839999999999996,1.8635275870441101e-06
99,EGFL8,-3.536,2.14591385025633e-06
100,CRYZ,-1.193,2.16503918145271e-06
108,ABHD16A,-2.892,3.16375591742663e-06
111,TBX15,-4.471,4.012167397851519e-06
113,CALCRL,-2.698,4.19644066978322e-06
118,GNL1,-3.009,4.5751787793818e-06
120,CSAG3,-4.067,4.87054582326575e-06
124,SPOCD1,-1.994,5.4012460396927e-06
130,WDR46,-2.852,6.6577445376395e-06
138,OCIAD2,-2.8689999999999998,7.17114190103035e-06
140,NPIPA2,-4.461,7.86361469076292e-06
141,PTHLH,-2.7430000000000003,8.03318648020709e-06
143,RARRES3,-4.49,8.34459025119077e-06
145,HLA-DPB1,-2.1180000000000003,8.90317209538084e-06
146,LOC441155,-1.548,9.92962338893974e-06
152,IFITM1,-3.9139999999999997,1.0713924757381e-05
153,OSBPL3,-1.081,1.09297134644582e-05
156,HOXC-AS2,-3.855,1.3051859586473e-05
166,SERF1A,-1.807,1.69411164750092e-05
170,LOC101928270,-3.11,1.8103642882959198e-05
176,GDF5,-3.5810000000000004,1.88494218593814e-05
179,COL25A1,-2.282,1.99510198830591e-05
181,CCDC140,-1.949,2.08916377691188e-05
184,KRT17,-3.7239999999999998,2.24515084532702e-05
185,ZP3,-1.821,2.2698183217768104e-05
186,LOC102723828,-2.735,2.24080153713377e-05
188,HOXD9,-3.2230000000000003,2.287015378199e-05
189,CCHCR1,-1.9669999999999999,2.33661020489781e-05
192,DDX52,-1.405,2.52523449137366e-05
194,JAKMIP2-AS1,-2.182,2.8022343659655604e-05
198,PSMB8,-2.95,2.95036040704857e-05
200,HLA-B,-6.335,3.1190603651048104e-05
202,PLAU,-2.166,3.25941997338692e-05
208,TGFBI,-3.593,3.49471177021568e-05
211,NPY,-3.609,3.58329847154544e-05
212,NPNT,-3.485,3.62953480292508e-05
214,OSR2,-2.948,3.837059783014221e-05
218,BAAT,-2.3080000000000003,4.4268744799185e-05
224,S100A16,-1.14,4.74506820761365e-05
226,GBP1,-2.7539999999999996,4.89546943900329e-05
231,ABCA13,-1.6030000000000002,5.3100854040182395e-05
233,COL1A1,-2.395,5.3980390745721005e-05
237,IL1R1,-2.5989999999999998,6.2897090171779e-05
239,ENTPD3,-2.502,6.501195654169828e-05
243,COL18A1,-1.713,7.03267832469734e-05
246,NKX2-5,-4.157,7.22007158353294e-05
248,TAP2,-2.286,7.2736613015558e-05
250,GALNT5,-2.9389999999999996,7.54028202387548e-05
252,CD34,-2.056,7.819640520318629e-05
263,FRMD5,-1.014,8.964298203779499e-05
266,KCNK13,-3.7060000000000004,9.15420694668365e-05
267,RGS4,-2.045,9.185162405047759e-05
268,MEGF11,-2.355,9.242433056931841e-05
269,LIF,-1.341,9.29204519690741e-05
270,RGS5,-3.154,9.348712142014291e-05
271,SOHLH2,-1.538,9.49506128924631e-05
273,LTBP2,-2.545,9.54350847386588e-05
279,DHX16,-3.13,0.000100647515984366
282,FAM162B,-1.939,0.00010249523557835
286,STX3,-1.6469999999999998,0.00010844508075496899
289,GPR176,-1.771,0.000115567639531247
290,GOLGA7B,-2.176,0.000116659898814226
291,ACTG2,-2.39,0.000116355770101343
293,CH25H,-3.1189999999999998,0.00012351294135812
294,DIRAS3,-2.525,0.00012384251578736002
297,ALPL,-1.598,0.00012612309597203998
298,LINC00654,-1.594,0.000128242754310749
301,TGFB2,-1.374,0.000129529908447795
304,PRRX1,-2.742,0.00013458415931009198
305,CD55,-1.5590000000000002,0.000135235472197554
306,SLFN11,-3.397,0.000143182020262352
309,IFITM2,-2.548,0.000142847874688048
310,CCKBR,-2.509,0.000146782088437085
311,LOC105369486,-1.893,0.000145852587606538
313,OSMR,-2.39,0.000145300541728053
315,HLA-DMB,-2.439,0.000150603400811724
322,TGFB2-AS1,-1.825,0.00015632084681145401
323,GLT8D2,-1.7919999999999998,0.000156579188126364
324,MIR155HG,-1.745,0.000158875633292689
326,PPL,-1.32,0.00015957200811011698
328,LAMA2,-1.959,0.000157564044282157
330,SLN,-3.583,0.000160327304614166
