,Gene_symbol,Log_FoldChange,PValue
3,SLC6A11,7.3870000000000005,7.318181690712459e-13
7,TIMP4,3.1660000000000004,2.29118911860867e-11
8,GNG7,3.722,3.5402734358763997e-11
9,GPR12,7.1,1.93124784151085e-10
10,BCAN,5.766,1.82616250334174e-10
13,SPTB,5.273,1.57190974605453e-09
15,COL20A1,5.56,1.9558442701607397e-09
16,SLC4A4,2.739,3.26394595318682e-09
17,TENM1,2.55,3.3446708903014803e-09
19,KCNIP1,4.506,5.9167050606775e-09
20,SYT12,3.742,7.459222581141191e-09
21,MKX,3.1489999999999996,8.05732845887295e-09
22,MDFI,1.475,8.19197451939746e-09
23,ABCF1,3.1519999999999997,9.4541943710075e-09
25,LRRN2,2.459,9.420807742407021e-09
26,SYN2,3.18,1.01522668794644e-08
30,KCNA2,4.362,1.5484726173630198e-08
31,CSMD1,4.386,2.0449697447391497e-08
32,SCRG1,2.14,2.68034534142041e-08
34,SLC6A1,4.833,3.19761233833683e-08
35,SCN1A,2.745,3.55045358495891e-08
37,GRID1,3.005,4.5842358408820594e-08
38,ABTB2,1.005,5.2963580144517005e-08
39,FCGR2A,4.606,5.5721340604464505e-08
40,ACTN2,4.039,6.10600970680055e-08
42,DOCK9,3.105,6.72037288781245e-08
43,SEZ6L,3.95,7.08989595014727e-08
45,SLC38A3,2.2680000000000002,1.02396420442283e-07
47,KCNA4,3.5180000000000002,1.04918124436451e-07
48,LHFPL3,5.033,1.13917366160743e-07
49,LOC154761,3.258,1.48127289933666e-07
50,ITPR2,3.238,1.60385735815028e-07
51,NLGN3,1.882,1.8560169927899398e-07
52,C1QL1,3.13,1.9218458345450302e-07
55,PRR32,6.287999999999999,2.9392622582690395e-07
56,HEPACAM,2.826,3.53779506710478e-07
57,PCDHGA7,3.568,3.52370926091593e-07
59,ATP1B2,2.615,3.8599281581523e-07
60,NFATC1,2.3209999999999997,4.79705200768185e-07
63,CPNE5,2.967,5.57023790267319e-07
64,CHODL,2.333,5.52603729663412e-07
65,MTRNR2L8,4.977,6.0950335565232e-07
67,ALDH1L1,2.8160000000000003,7.10764600905568e-07
68,NAP1L4,2.388,7.34368608182607e-07
69,GRIN2D,1.653,7.57370797100522e-07
70,TNS1,2.705,7.79252177492602e-07
71,ASTN1,2.9730000000000003,8.430058863991709e-07
73,LINC00606,5.435,9.88665621680119e-07
74,PCDHAC2,1.9169999999999998,1.0051633855652399e-06
84,KCND2,2.9410000000000003,1.1871611463446998e-06
88,TSEN34,6.602,1.34437154681327e-06
89,ST6GALNAC5,1.943,1.53411350953414e-06
90,CDH23,3.303,1.6001622771850799e-06
91,TNR,2.988,1.64460711984363e-06
93,CLDN1,3.052,1.87493650682351e-06
95,SLC1A2,2.175,1.95810313497256e-06
96,CD96,3.0210000000000004,2.0817089001156103e-06
97,HLA-A,6.656000000000001,2.04112450149836e-06
98,ACSBG1,1.999,2.0705432633660998e-06
101,SLC9A9,2.588,2.19298464312469e-06
102,FIBCD1,3.525,2.3398584686224497e-06
103,SLC13A5,2.6310000000000002,2.33390783989642e-06
